   0.0000000e+00   0.0000000e+00
   5.0000000e-03   2.7240589e+00
   1.0000000e-02   5.0741359e+00
   1.5000000e-02   7.0983031e+00
   2.0000000e-02   8.8491889e+00
   2.5000000e-02   1.0373233e+01
   3.0000000e-02   1.1708977e+01
   3.5000000e-02   1.2887608e+01
   4.0000000e-02   1.3934271e+01
   4.5000000e-02   1.4869320e+01
   5.0000000e-02   1.5709302e+01
   5.5000000e-02   1.6467712e+01
   6.0000000e-02   1.7155719e+01
   6.5000000e-02   1.7782570e+01
   7.0000000e-02   1.8355966e+01
   7.5000000e-02   1.8882390e+01
   8.0000000e-02   1.9367328e+01
   8.5000000e-02   1.9815504e+01
   9.0000000e-02   2.0230886e+01
   9.5000000e-02   2.0616954e+01
   1.0000000e-01   2.0976644e+01
