   1.0000000e+00   1.0700000e+00
   1.0853479e+00   1.0695023e+00
   1.1703289e+00   1.0690026e+00
   1.2550839e+00   1.0685044e+00
   1.3402345e+00   1.0680132e+00
   1.4246030e+00   1.0675179e+00
   1.5094371e+00   1.0670286e+00
   1.5936651e+00   1.0665381e+00
   1.6781309e+00   1.0660530e+00
   1.7622435e+00   1.0655662e+00
   1.8462598e+00   1.0650796e+00
   1.9300607e+00   1.0645962e+00
   2.0137965e+00   1.0641142e+00
   2.0974951e+00   1.0636358e+00
   2.1810154e+00   1.0631569e+00
   2.2643074e+00   1.0626803e+00
   2.3475229e+00   1.0622044e+00
   2.4306592e+00   1.0617302e+00
   2.5134874e+00   1.0612576e+00
   2.5964534e+00   1.0607875e+00
   2.6791464e+00   1.0603177e+00
   2.7617863e+00   1.0598499e+00
   2.8440686e+00   1.0593826e+00
   2.9265156e+00   1.0589199e+00
   3.0087945e+00   1.0584563e+00
   3.0905572e+00   1.0579925e+00
   3.1725190e+00   1.0575311e+00
   3.2543321e+00   1.0570736e+00
   3.3360035e+00   1.0566165e+00
   3.4174507e+00   1.0561591e+00
   3.4989009e+00   1.0557048e+00
   3.5801213e+00   1.0552510e+00
   3.6612593e+00   1.0547986e+00
   3.7424680e+00   1.0543501e+00
   3.8232512e+00   1.0539009e+00
   3.9039182e+00   1.0534511e+00
   3.9844862e+00   1.0530052e+00
   4.0649710e+00   1.0525599e+00
   4.1452447e+00   1.0521156e+00
   4.2257260e+00   1.0516770e+00
   4.3058467e+00   1.0512362e+00
