   0.0000000e+00   1.3088500e+04   1.6601080e+12   1.3079552e+12   1.3079552e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3079552e+12   1.6601080e+12   1.3079552e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3079552e+12   1.3079552e+12   1.6601080e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7607641e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7607641e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7607641e+11
   3.8172000e+04   1.3088180e+04   1.6599996e+12   1.3078861e+12   1.3078861e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3078861e+12   1.6599996e+12   1.3078861e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3078861e+12   1.3078861e+12   1.6599996e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7605674e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7605674e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7605674e+11
   7.6344000e+04   1.3087230e+04   1.6596787e+12   1.3076829e+12   1.3076829e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3076829e+12   1.6596787e+12   1.3076829e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3076829e+12   1.3076829e+12   1.6596787e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7599789e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7599789e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7599789e+11
   1.1451600e+05   1.3085640e+04   1.6591381e+12   1.3073387e+12   1.3073387e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3073387e+12   1.6591381e+12   1.3073387e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3073387e+12   1.3073387e+12   1.6591381e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7589973e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7589973e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7589973e+11
   1.5268800e+05   1.3083420e+04   1.6583853e+12   1.3068584e+12   1.3068584e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3068584e+12   1.6583853e+12   1.3068584e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3068584e+12   1.3068584e+12   1.6583853e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7576342e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7576342e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7576342e+11
   1.9085900e+05   1.3080570e+04   1.6574203e+12   1.3062461e+12   1.3062461e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3062461e+12   1.6574203e+12   1.3062461e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3062461e+12   1.3062461e+12   1.6574203e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7558708e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7558708e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7558708e+11
   2.2903100e+05   1.3077080e+04   1.6562392e+12   1.3054960e+12   1.3054960e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3054960e+12   1.6562392e+12   1.3054960e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3054960e+12   1.3054960e+12   1.6562392e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7537162e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7537162e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7537162e+11
   2.6720300e+05   1.3072950e+04   1.6548423e+12   1.3046061e+12   1.3046061e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3046061e+12   1.6548423e+12   1.3046061e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3046061e+12   1.3046061e+12   1.6548423e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7511810e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7511810e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7511810e+11
   3.0537500e+05   1.3068190e+04   1.6532313e+12   1.3035817e+12   1.3035817e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3035817e+12   1.6532313e+12   1.3035817e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3035817e+12   1.3035817e+12   1.6532313e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7482483e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7482483e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7482483e+11
   3.4354700e+05   1.3062800e+04   1.6514095e+12   1.3024218e+12   1.3024218e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3024218e+12   1.6514095e+12   1.3024218e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3024218e+12   1.3024218e+12   1.6514095e+12   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7449386e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7449386e+11   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7449386e+11
